rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt", new
18,West Virginia,B12,19-15,117.2481471756762,14,97.45053584700352,55,0.8934901958111203,18,19,15,7,11,7-11,0.7553438721320135,0.5742864723394873,0.8677188356755057,0.7553438721320135,0.5742864723394873,0.8677188356755057,0.6427501560887311,0.7862924197891937,109.9362575606668,97.48754970729411,109.9362575606668,97.48754970729411,115.61798812998511,97.8888035924255,126.95560141786568,109.3326551397037,0.8479466925762668,21,-0.07081441247750875,1323.0,1332.0,1264.2124999999996,1.0465012804413818,1.053620336770915,0,0.3888888888888889,1.4557193729820628,36,325,68.41647794306272
19,Arkansas,SEC,22-14,111.9035058006462,45,93.34838175736704,16,0.8894299715908086,19,22,14,8,10,8-10,0.718374718578868,0.5925265645296028,0.7606346258747672,0.718374718578868,0.5925265645296028,0.7606346258747672,0.673398257421813,0.7884929143928313,109.66251982995425,98.53242208938832,109.66251982995425,98.53242208938832,111.095636346151,95.05574444729342,115.88968877409107,98.1878517045979,0.8705913245986173,17,-0.04391263751700769,1302.0,1274.0,1247.225,1.0439174968429916,1.0214676582012068,0,0.4444444444444444,0.3774732962021773,48,278,69.51441107656508
20,Xavier,BE,27-10,118.01064878101644,9,98.47585588034227,74,0.8890505928286918,20,27,10,15,5,15-5,0.7093084263587018,0.5770738811457005,0.756956253983963,0.7093084263587018,0.5770738811457005,0.756956253983963,0.678361718939261,0.7649265480095991,109.77228400259034,99.14942030311623,109.77228400259034,99.14942030311623,121.290869988022,98.79365788698037,140.9736251466522,113.00101400557605,0.9271372641357383,16,0.07104517575043978,1631.0,1511.0,1434.0375,1.1373482213679909,1.053668401279604,0,0.75,5.358671909187457,11,38,70.47430050084064
21,Auburn,SEC,21-13,113.13004143167858,34,94.90539525024022,28,0.8828872355983439,21,21,13,10,8,10-8,0.7111484752739556,0.5985910509916818,0.7620138191324712,0.7111484752739556,0.5985910509916818,0.7620138191324712,0.6816104218627619,0.7712834917718963,109.27768731434418,98.81680468784899,109.27768731434418,98.81680468784899,113.9489285121923,95.29991012978594,117.50775098794334,100.44136070887585,0.8587197946859034,15,-0.03413932032488731,1293.0,1245.0,1226.9624999999999,1.0538219383232985,1.0147009382927352,0,0.5555555555555556,1.0534126143179963,42,252,67.59854742688184
22,Florida Atlantic,CUSA,35-4,114.02336597137986,27,95.76563834503816,40,0.8815033074438332,22,35,4,18,2,18-2,0.5444734924141639,0.3701986889999036,0.5640648848760794,0.5444734924141639,0.3701986889999036,0.5640648848760794,0.8115244478853858,0.904722622259883,106.02036408077068,102.41778290498154,106.02036408077068,102.41778290498154,113.15716215640265,97.00874863490125,123.27906440261039,99.27830375868417,0.923439272088813,8,0.10981770853878203,1566.0,1341.0,1383.1625,1.1321880111700542,0.9695173199099889,0,0.9,4.719756892502936,14,15,67.45823519414968
23,Texas A&M,SEC,25-10,113.84372083519938,30,95.67043297380958,38,0.8808022688072271,23,25,10,15,3,15-3,0.6639939219577933,0.47088031195274216,0.7581397779371948,0.6639939219577933,0.47088031195274216,0.7581397779371948,0.721824508205041,0.8537741916579306,108.21535112461572,100.09464490069064,108.21535112461572,100.09464490069064,115.79488103098203,90.72973930120374,117.18495320299408,100.96799312388819,0.8472151609652135,14,0.024054702836914355,1289.0,1141.0,1186.6875000000002,1.0862168852372673,0.9614999736661924,0,0.8333333333333334,3.6843431590238547,19,129,65.98965673219652
24,Kansas St.,B12,26-10,112.6222514400834,39,94.68001085314593,27,0.8803415724750219,24,26,10,11,7,11-7,0.716490535824105,0.4583052378055706,0.8692054192600327,0.716490535824105,0.4583052378055706,0.8692054192600327,0.6831416659259546,0.8982410545987575,108.61505317837172,98.26689676015194,108.61505317837172,98.26689676015194,114.35312893069967,94.36298144587747,122.38118513420397,102.5037110608742,0.8847578927640187,19,0.07461882177054935,1384.0,1349.0,1322.3124999999998,1.0466512265444063,1.0201824455263035,0,0.6111111111111112,4.236212404686109,17,33,69.8017446610942
25,Michigan St.,B10,21-13,114.4189824749378,24,96.44294108069579,45,0.877129925367832,25,21,13,11,8,11-8,0.7741704900584507,0.6348530653001361,0.8355988809592241,0.7741704900584507,0.6348530653001361,0.8355988809592241,0.64433151899786,0.7381433874465586,111.81039731733233,98.73019834746233,111.81039731733233,98.73019834746233,114.08168053949615,94.90747149912166,125.99926703862,106.50528157139033,0.87357419007077,20,0.0193272954130167,1326.0,1284.0,1245.9499999999996,1.0642481640515273,1.0305389461856418,0,0.5789473684210527,2.4259905659522314,26,134,64.5942056085517
26,Kentucky,SEC,22-12,115.65327607377111,18,97.74404012600132,60,0.8737810384476768,26,22,12,12,6,12-6,0.6791236308906314,0.5425155972308442,0.7539742234461322,0.6791236308906314,0.5425155972308442,0.7539742234461322,0.6972356432589207,0.769079800004206,108.73264380288902,99.89736419492382,108.73264380288902,99.89736419492382,118.20980910879364,101.48031238999027,119.13665735422013,100.2082882226128,0.8797149512039152,15,-0.007652951063422342,1309.0,1249.0,1182.4750000000001,1.107000147994672,1.0562591175289118,0,0.6666666666666666,1.614148650713932,33,186,65.77184150913007
27,Miami FL,ACC,29-8,119.14253318072649,7,100.87358447673094,109,0.8714906040584304,27,29,8,15,5,15-5,0.6620986372602765,0.4863450088489622,0.6729034521204696,0.6620986372602765,0.4863450088489622,0.6729034521204696,0.719735196448414,0.8349441872127933,108.37689322135768,100.64626737061616,108.37689322135768,100.64626737061616,117.51471733871342,99.2802256272744,127.16666826925079,102.83396333418918,0.9200041392197432,13,0.10998763140941381,1601.0,1457.0,1399.875,1.1436735422805608,1.0408072149299044,0,0.75,3.6590265482669624,20,14,68.64868814920747
28,TCU,B12,22-13,111.67747743273964,49,94.62869097812175,26,0.8704591820872639,28,22,13,9,9,9-9,0.6968972858931043,0.39711229112982205,0.8703201198289816,0.6968972858931043,0.39711229112982205,0.8703201198289816,0.6645478667190226,0.8784358896417465,108.63079290739773,98.98225110709222,108.63079290739773,98.98225110709222,113.15160256429562,94.09007041072313,120.63008110077813,102.1539104344941,0.871227170773371,20,0.015087472890460751,1319.0,1292.0,1274.2,1.0351593156490346,1.0139695495212682,0,0.5,2.2390118056811454,28,144,69.68063098920712
29,Iowa St.,B12,19-14,107.01750044044641,122,90.85997833505797,7,0.8678678248729268,29,19,14,9,9,9-9,0.7347220935596293,0.49864272285133926,0.8706120555943203,0.7347220935596293,0.49864272285133926,0.8706120555943203,0.6317289896106532,0.779667894847876,111.14866605760265,99.5574806825367,111.14866605760265,99.5574806825367,111.77500795064022,89.7775790855752,119.16634544511335,100.1970779553441,0.8801536032502897,21,0.0022556108905746886,1213.0,1161.0,1186.9250000000002,1.0219685321313476,0.978157844851191,0,0.5,2.4066758651502296,27,168,64.0032885108234
30,Utah St.,MWC,26-9,115.38431350491348,19,98.0247016084528,65,0.8670429598331642,30,26,9,13,5,13-5,0.6613306902090541,0.5590647174072392,0.6970508020311198,0.6613306902090541,0.5590647174072392,0.6970508020311198,0.7764954856588995,0.8643648512837878,108.05135886143337,100.32104182914047,108.05135886143337,100.32104182914047,116.57795482370004,100.1650507678815,110.50552494523565,102.99897314322303,0.6918931197597616,5,0.018237859282013935,1345.0,1241.0,1199.2250000000001,1.1215576726635952,1.0348349976026183,0,0.7222222222222222,2.949523522837678,24,136,68.63220528100689
31,Maryland,B10,22-13,112.61560947656066,40,95.75891358592955,39,0.8658422172494059,31,22,13,11,9,11-9,0.6846837601994871,0.45672988237081563,0.7904924329600831,0.6846837601994871,0.45672988237081563,0.7904924329600831,0.6906031590391521,0.8161650733606791,109.19912053622794,99.99751183283512,109.19912053622794,99.99751183283512,113.03553986901284,96.4499346617014,108.15351617436411,100.05468337967187,0.7099415371555118,16,-0.0055669527328585655,1349.0,1286.0,1260.9124999999997,1.0698601211424268,1.019896305255123,0,0.55,1.0060811509994783,43,180,64.32912366636506
32,Northwestern,B10,22-12,109.73855410339392,76,93.42605682568333,18,0.8642093156412163,32,22,12,12,8,12-8,0.7028186994012159,0.4546539406884376,0.8125449379341836,0.7028186994012159,0.4546539406884376,0.8125449379341836,0.6993625287575957,0.8763974822310435,109.01024041634439,99.41291116586854,109.01024041634439,99.41291116586854,112.3674715856972,95.36991832779415,117.93620162065089,98.09035867884766,0.8927294507525199,15,0.009332128796416983,1352.0,1327.0,1293.3375000000003,1.0453574569669555,1.0260276223336906,0,0.6,1.6036133983842147,34,157,64.51487096692843
33,North Texas,CUSA,31-7,110.03808126127703,69,93.81616631902067,22,0.8622526429427645,33,31,7,16,4,16-4,0.5514558780117674,0.43736339754336556,0.5660178023071324,0.5514558780117674,0.43736339754336556,0.5660178023071324,0.8163467519425607,0.859511275046275,105.61173250679758,101.81568912858592,105.61173250679758,101.81568912858592,110.65987378134552,94.684230346333,111.23358852948768,99.09932353355899,0.7905696317234496,7,0.046778353009562235,1308.0,1149.0,1194.7250000000001,1.094812613781414,0.9617275942162421,0,0.8,1.1413154270257007,40,77,58.71223387040836
34,Virginia,ACC,25-8,110.03927734253271,68,94.03117247506654,24,0.8591111133158854,34,25,8,15,5,15-5,0.6407197139615362,0.5477573888257063,0.6477813477298285,0.6407197139615362,0.5477573888257063,0.6477813477298285,0.7538508754137787,0.7680542351099269,108.1001921656666,101.62380188343964,108.1001921656666,101.62380188343964,108.04736906932871,93.50240935673077,127.1506674895767,109.51177005057308,0.8477959791494346,10,0.0669577511851348,1335.0,1233.0,1257.2,1.0618835507476931,0.9807508749602291,0,0.75,4.104189698452763,18,43,61.322754985660225
35,Indiana,B10,23-12,113.08444358127848,36,96.86643220680705,47,0.8557240957796249,35,23,12,12,8,12-8,0.7174697605892298,0.48444259295581366,0.8217214383025911,0.7174697605892298,0.48444259295581366,0.8217214383025911,0.6691310079041254,0.7831175639997281,109.9933290597442,99.56932554735961,109.9933290597442,99.56932554735961,113.16523219473186,96.74380593190199,121.77468466131677,106.66453773272647,0.8210625562143447,18,0.06306362535968535,1421.0,1401.0,1345.3375,1.0562405344383843,1.04137437631821,0,0.6,3.4254719691990334,22,48,67.8548074262982
36,Penn St.,B10,23-14,117.47380236129153,11,100.69509708159933,105,0.8547508847503387,36,23,14,10,10,10-10,0.7154388577649461,0.4455861930120733,0.8138554069995887,0.7154388577649461,0.4455861930120733,0.8138554069995887,0.6875267182444248,0.8763950801075041,108.92584103441035,98.93148525533665,108.92584103441035,98.93148525533665,117.99750419644792,102.56192035003664,121.71387812975127,105.50915164857129,0.8379517439020577,18,0.011936958093526129,1394.0,1394.0,1276.8375,1.091759914632833,1.091759914632833,0,0.5,1.326795880465145,38,150,64.28560227978205
37,Oregon,P12,21-15,112.98379290161996,37,97.09066329366343,50,0.8511172010291688,37,21,15,12,8,12-8,0.7143534089427079,0.6593861986361115,0.7289842656787521,0.7143534089427079,0.6593861986361115,0.7289842656787521,0.6999701662850631,0.7461857731138348,108.24272879862039,97.95278169105696,108.24272879862039,97.95278169105696,115.10500589670085,99.94981389687675,126.13468703952518,111.19091709648274,0.8100243196505069,12,-0.03884719375400636,1426.0,1350.0,1314.5375,1.0847921797590407,1.0269771687760905,0,0.6,-0.2592851908435959,56,266,66.40148980592139
38,UAB,CUSA,29-10,112.43055200212609,42,96.99121212499406,49,0.8453683201362885,38,29,10,14,6,14-6,0.5477690715833425,0.40183174874355354,0.567724709739773,0.5477690715833425,0.40183174874355354,0.567724709739773,0.815778283336119,0.8772144809173992,105.53461325519608,102.60111514837058,105.53461325519608,102.60111514837058,112.01889001913663,98.64755268044496,120.81008612076705,106.69291777773351,0.8067528535646985,8,-0.006010365136707829,1582.0,1440.0,1437.8874999999996,1.1002251566968908,1.001469169180482,0,0.7,-0.4768201951977863,59,183,70.7074496220804
39,Rutgers,B10,19-15,105.38267330080757,151,91.00552228639663,8,0.8438025356025738,39,19,15,10,10,10-10,0.6744662844373044,0.4112964414859221,0.7982352005263545,0.6744662844373044,0.4112964414859221,0.7982352005263545,0.7130737251468305,0.8810651392400839,109.28585447080624,101.13741380512317,109.28585447080624,101.13741380512317,104.837789169593,90.96439600100413,110.52127602689146,93.85996557122604,0.8675131384063917,15,-0.06857283982250806,1292.0,1277.0,1301.425,0.992757938413662,0.981232110955299,0,0.5,-1.0332136759337054,66,318,65.82425111059666
40,North Carolina,ACC,20-13,111.53267813738674,51,96.35940431883623,44,0.8431262330403234,40,20,13,11,9,11-9,0.6887204047392124,0.6495966705907057,0.7100419243118968,0.6887204047392124,0.6495966705907057,0.7100419243118968,0.7317786273194482,0.7367544869589246,108.99262286353874,100.34339927762821,108.99262286353874,100.34339927762821,108.44488363854296,94.48084157612787,120.8911351364074,106.60023738956242,0.809498362823539,12,-0.0358446818583914,1458.0,1381.0,1381.625,1.0552791097439609,0.9995476341264815,0,0.55,-0.6576430434209204,62,258,68.82751669659223
41,Iowa,B10,19-14,119.89402596542232,4,103.89344085266858,171,0.8385242321442582,41,19,14,11,9,11-9,0.709096767394163,0.4952617041939212,0.8118600425967963,0.709096767394163,0.4952617041939212,0.8118600425967963,0.6885661742355954,0.8040171978982485,108.23169151802341,98.8372162068602,108.23169151802341,98.8372162068602,120.36813853850875,104.4022390771215,129.73540847899798,109.4294390609977,0.8762617865290009,17,-0.011199915227973811,1567.0,1536.0,1390.1875,1.1271860810142518,1.104886930719777,0,0.55,0.3470050771989238,50,191,69.55343653081475
42,Oklahoma St.,B12,20-16,106.26800843016474,133,92.11502096824896,12,0.8380312526917282,42,20,16,8,10,8-10,0.7345347766303725,0.5397289472083601,0.8739630127407985,0.7345347766303725,0.5397289472083601,0.8739630127407985,0.6638322289688823,0.8217345975009365,109.89929821962083,98.23829957838295,109.89929821962083,98.23829957838295,108.11433745762427,94.17698563105982,113.65380337267045,100.89436557875582,0.7972918777417023,19,-0.009346873646548848,1213.0,1273.0,1233.7500000000002,0.9831813576494426,1.0318135764944274,0,0.4444444444444444,0.1351161498788015,51,188,67.4228116700358
43,Boise St.,MWC,24-10,110.11435898241697,66,95.56389616372242,36,0.8361463672765741,43,24,10,13,5,13-5,0.6471712732411784,0.5101170635710166,0.715857651111944,0.6471712732411784,0.5101170635710166,0.715857651111944,0.757937127659339,0.8317354650069387,108.11855660435577,100.88227359499562,108.11855660435577,100.88227359499562,112.30721074690386,95.86389491408586,120.49733283505377,104.07357278577955,0.8435773152461259,8,0.04408188649896938,1317.0,1217.0,1213.5,1.0852904820766378,1.0028842192006593,0,0.7222222222222222,2.144857903291464,30,84,66.28375008550604
44,Michigan,B10,18-16,111.6574548479451,50,97.13511606706619,51,0.8323433720361176,44,18,16,11,9,11-9,0.7098861869755089,0.5260319658652646,0.8004961180670452,0.7098861869755089,0.5260319658652646,0.8004961180670452,0.6997041416843941,0.8267467561201368,109.37357174032321,99.73023998644194,109.37357174032321,99.73023998644194,113.81294457310926,94.3622667709764,121.86177068046506,103.47984982627614,0.8676536649325108,16,-0.05987729905756545,1468.0,1378.0,1370.3625,1.071249395689097,1.0055733428198743,0,0.55,-1.7890479516781115,74,308,67.47456988599295
45,Ohio St.,B10,16-19,115.78883804258557,17,100.73649985191167,106,0.8322264903393383,45,16,19,5,15,5-15,0.723579514634687,0.48967083437014214,0.8241232884230756,0.723579514634687,0.48967083437014214,0.8241232884230756,0.6569206115476716,0.7833371443970146,109.54701346940367,98.86547833348294,109.54701346940367,98.86547833348294,112.53631893925073,101.89379971396683,124.93487160597783,109.40326641626815,0.8215150558839636,20,-0.08845023999786922,1353.0,1435.0,1306.9875,1.0352050038734113,1.0979447010778605,0,0.25,-3.059974840686989,95,341,65.99268487742337
46,USC,P12,22-11,111.75172753005845,48,97.37225849790585,53,0.8297689898962702,46,22,11,14,6,14-6,0.6815518796819395,0.5770700187731641,0.7222828931694428,0.6815518796819395,0.5770700187731641,0.7222828931694428,0.7174310069287482,0.812386686677334,107.06558017107363,98.43142972974579,107.06558017107363,98.43142972974579,113.92846801486198,97.64592433658947,125.30505650851781,107.3021205125772,0.8561509539875751,12,0.052576629800602404,1452.0,1336.0,1340.4125,1.0832486268219672,0.99670810291608,0,0.7,2.0736509742966027,31,64,67.99080685083555
47,Cincinnati,Amer,23-13,111.87890685010916,46,97.50190805729301,57,0.8294549373314439,47,23,13,11,7,11-7,0.6043791362620902,0.4443064806815519,0.6668400513915287,0.6043791362620902,0.4443064806815519,0.6668400513915287,0.7620189675942004,0.8623575023154054,107.65668568305783,101.48220054019987,107.65668568305783,101.48220054019987,114.05327556176366,97.34837995704387,128.18953045264917,120.39659967227863,0.6728852374110263,10,-0.032826085557664864,1371.0,1270.0,1257.6375,1.0901392491874646,1.0098299390722685,0,0.6111111111111112,-1.6506447676120959,71,249,68.46401146762959
48,North Carolina St.,ACC,23-11,113.62361434287163,32,99.15838494025783,80,0.8272110257393183,48,23,11,12,8,12-8,0.6374188187526775,0.45045269777491126,0.7109476429731743,0.6374188187526775,0.45045269777491126,0.7109476429731743,0.7499551410412956,0.86106924189268,108.3291988020022,102.03744341618969,108.3291988020022,102.03744341618969,112.62881755229569,99.29428014509078,127.27416824177466,110.58613226894983,0.8342858816602258,9,0.02931796581384316,1509.0,1445.0,1380.6624999999997,1.0929535639593313,1.0465990059120172,0,0.6,1.1277190290984933,41,117,69.22797406482003
